那覇空港,--,18:40,--,18:40:12
赤嶺,18:43,18:43,18:43:37,18:43:52
小禄,18:45,18:45,18:45:18,18:45:40
奥武山公園,18:46,18:46,18:47:05,18:47:34
壺川,18:48,18:48,18:49:17,18:49:51
旭橋,18:50,18:50,18:51:18,18:52:01
旭橋,09:46,09:46,09:46:40,09:47:17
県庁前,09:48,09:48,09:48:38,09:49:12
美栄橋,09:50,09:50,09:50:28,09:50:53
牧志,09:52,09:52,09:52:24,09:52:54
安里,09:53,09:53,09:54:11,09:54:37
おもろまち,09:55,09:55,09:55:50,09:56:32
古島,09:57,09:57,09:57:58,09:58:34
市立病院前,09:59,09:59,09:59:50,10:00:25
儀保,10:01,10:01,10:01:57,10:02:33
首里,10:03,--,10:04:34,--
儀保,13:13,13:13,13:13:46,13:14:15
市立病院前,13:15,13:15,13:15:33,13:16:05
古島,13:17,13:17,13:17:13,13:17:44
おもろまち,13:19,13:19,13:19:19,13:19:55
安里,13:21,13:21,13:21:05,13:21:32
牧志,13:23,13:23,13:22:53,13:23:27
美栄橋,15:57,15:57,13:56:48,13:57:45
県庁前,15:59,15:59,13:59:02,16:00:27
旭橋,16:00,16:00,16:01:38,
旭橋,16:10,16:10,16:09:40,16:10:16
壺川,16:12,16:12,16:12:33,16:13:00
奥武山公園,16:14,16:14,16:14:28,16:14:55
小禄,16:16,16:16,16:16:13,16:16:48
赤嶺,16:18,16:18,16:17:59,16:18:33
那覇空港,16:21,--,16:21:47,--
